,国家,省,省简称,确诊,疑似,治愈,死亡,code,text
0,中国,四川省,四川,538,0,332,3,22,"四川
538例确诊"
1,中国,广东省,广东,1348,0,933,7,27,"广东
1348例确诊"
2,中国,云南省,云南,174,0,156,2,23,"云南
174例确诊"
3,中国,陕西省,陕西,245,0,198,1,14,"陕西
245例确诊"
4,中国,上海市,上海,337,0,279,3,04,"上海
337例确诊"
5,中国,重庆市,重庆,576,0,402,6,28,"重庆
576例确诊"
6,中国,福建省,福建,296,0,233,1,33,"福建
296例确诊"
7,中国,河南省,河南,1272,0,1107,20,17,"河南
1272例确诊"
8,中国,黑龙江省,黑龙江,480,0,283,13,08,"黑龙江
480例确诊"
9,中国,江苏省,江苏,631,0,514,0,06,"江苏
631例确诊"
10,中国,山东省,山东,756,0,396,6,11,"山东
756例确诊"
11,中国,安徽省,安徽,990,0,821,6,32,"安徽
990例确诊"
12,中国,湖南省,湖南,1017,0,823,4,30,"湖南
1017例确诊"
13,中国,甘肃省,甘肃,91,0,82,2,19,"甘肃
91例确诊"
14,中国,北京市,北京,410,0,257,7,03,"北京
410例确诊"
15,中国,浙江省,浙江,1205,0,943,1,34,"浙江
1205例确诊"
16,中国,海南省,海南,168,0,132,5,16,"海南
168例确诊"
17,中国,江西省,江西,935,0,790,1,31,"江西
935例确诊"
18,中国,新疆维吾尔自治区,新疆,76,0,43,3,18,"新疆
76例确诊"
19,中国,台湾,台湾,32,0,6,1,15,"台湾
32例确诊"
20,中国,香港,香港,93,0,26,2,20,"香港
93例确诊"
21,中国,湖北省,湖北,65914,0,26403,2682,29,"湖北
65914例确诊"
22,中国,广西壮族自治区,广西,252,0,166,2,26,"广西
252例确诊"
23,中国,吉林省,吉林,93,0,68,1,07,"吉林
93例确诊"
24,中国,河北省,河北,318,0,274,6,02,"河北
318例确诊"
25,中国,内蒙古自治区,内蒙古,75,0,43,0,09,"内蒙古
75例确诊"
26,中国,天津市,天津,136,0,102,3,12,"天津
136例确诊"
27,中国,山西省,山西,133,0,107,0,35,"山西
133例确诊"
28,中国,辽宁省,辽宁,121,0,93,1,01,"辽宁
121例确诊"
29,中国,澳门,澳门,10,0,8,0,25,"澳门
10例确诊"
30,中国,宁夏回族自治区,宁夏,72,0,68,0,13,"宁夏
72例确诊"
31,中国,贵州省,贵州,146,0,112,2,24,"贵州
146例确诊"
32,中国,西藏自治区,西藏,1,0,1,0,21,"西藏
1例确诊"
33,中国,青海省,青海,18,0,18,0,10,"青海
18例确诊"
